Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     Egz
Vardas39047         Pavarde39047        1       10      2       10      1       1
Vardas39048         Pavarde39048        6       10      5       7       9       9
Vardas39049         Pavarde39049        4       10      4       5       2       10
Vardas39050         Pavarde39050        2       8       4       3       9       8
Vardas39051         Pavarde39051        9       7       8       5       3       6
Vardas39052         Pavarde39052        4       7       1       4       7       1
Vardas39053         Pavarde39053        2       9       6       2       5       7
Vardas39054         Pavarde39054        8       4       2       1       4       6
Vardas39055         Pavarde39055        1       9       4       6       9       5
Vardas39056         Pavarde39056        9       3       2       2       8       7
Vardas39057         Pavarde39057        6       2       3       5       8       4
Vardas39058         Pavarde39058        2       2       5       6       5       7
Vardas39059         Pavarde39059        2       9       2       7       6       4
Vardas39060         Pavarde39060        1       9       10      4       4       8
Vardas39061         Pavarde39061        2       1       6       10      4       4
Vardas39062         Pavarde39062        2       2       1       6       4       5
Vardas39063         Pavarde39063        10      10      5       4       9       6
Vardas39064         Pavarde39064        7       3       1       9       4       5
Vardas39065         Pavarde39065        2       8       4       5       4       1
Vardas39066         Pavarde39066        8       7       1       7       3       6
Vardas39067         Pavarde39067        2       6       4       3       9       4
Vardas39068         Pavarde39068        1       8       8       3       2       8
Vardas39069         Pavarde39069        7       10      8       2       3       2
Vardas39070         Pavarde39070        4       2       9       4       6       5
Vardas39071         Pavarde39071        3       2       4       3       5       6
Vardas39072         Pavarde39072        1       2       5       6       2       8
Vardas39073         Pavarde39073        3       7       4       10      6       7
Vardas39074         Pavarde39074        9       7       3       6       2       3
Vardas39075         Pavarde39075        7       10      6       3       4       2
Vardas39076         Pavarde39076        5       4       9       7       7       7
Vardas39077         Pavarde39077        8       2       8       6       9       6
Vardas39078         Pavarde39078        10      3       9       9       9       8
Vardas39079         Pavarde39079        9       3       5       10      7       5
Vardas39080         Pavarde39080        4       9       7       6       6       9
Vardas39081         Pavarde39081        1       7       1       1       9       8
Vardas39082         Pavarde39082        7       8       2       2       10      9
Vardas39083         Pavarde39083        2       9       5       1       9       3
Vardas39084         Pavarde39084        6       2       6       10      9       6
Vardas39085         Pavarde39085        10      2       9       9       1       9
Vardas39086         Pavarde39086        1       5       8       3       6       6
Vardas39087         Pavarde39087        8       7       2       3       5       8
Vardas39088         Pavarde39088        7       3       7       1       3       4
Vardas39089         Pavarde39089        4       5       3       5       7       4
Vardas39090         Pavarde39090        5       1       9       1       7       4
Vardas39091         Pavarde39091        1       3       10      10      2       6
Vardas39092         Pavarde39092        1       8       9       2       9       1
Vardas39093         Pavarde39093        10      7       6       9       5       1
Vardas39094         Pavarde39094        2       1       9       1       9       6
Vardas39095         Pavarde39095        1       4       7       2       8       8
Vardas39096         Pavarde39096        2       2       5       9       9       5
Vardas39097         Pavarde39097        4       6       8       3       2       10
Vardas39098         Pavarde39098        7       7       10      5       8       9
Vardas39099         Pavarde39099        6       6       1       5       2       9
Vardas39100         Pavarde39100        1       6       10      8       1       5
Vardas39101         Pavarde39101        10      9       10      9       3       10
Vardas39102         Pavarde39102        4       2       9       7       7       4
Vardas39103         Pavarde39103        8       1       6       8       9       3
Vardas39104         Pavarde39104        4       2       5       9       6       1
Vardas39105         Pavarde39105        4       3       3       4       9       3
Vardas39106         Pavarde39106        4       8       2       6       8       4
Vardas39107         Pavarde39107        1       5       7       4       5       6
Vardas39108         Pavarde39108        1       1       4       10      6       5
Vardas39109         Pavarde39109        7       5       7       5       9       1
Vardas39110         Pavarde39110        6       10      7       2       1       2
Vardas39111         Pavarde39111        7       7       1       2       6       10
Vardas39112         Pavarde39112        8       9       3       7       3       3
Vardas39113         Pavarde39113        3       3       4       3       10      6
Vardas39114         Pavarde39114        4       7       10      8       4       8
Vardas39115         Pavarde39115        10      6       10      7       2       8
Vardas39116         Pavarde39116        6       1       4       9       8       10
Vardas39117         Pavarde39117        4       1       10      1       9       6
Vardas39118         Pavarde39118        1       3       2       1       7       1
Vardas39119         Pavarde39119        3       5       4       2       7       2
Vardas39120         Pavarde39120        2       4       8       7       5       9
Vardas39121         Pavarde39121        4       8       8       1       5       4
Vardas39122         Pavarde39122        5       5       5       5       7       1
Vardas39123         Pavarde39123        9       5       1       3       10      6
Vardas39124         Pavarde39124        3       1       9       9       2       3
Vardas39125         Pavarde39125        10      6       2       1       10      10
Vardas39126         Pavarde39126        3       2       5       8       1       8
Vardas39127         Pavarde39127        5       1       4       8       4       7
Vardas39128         Pavarde39128        6       4       9       6       1       4
Vardas39129         Pavarde39129        6       7       7       6       1       8
Vardas39130         Pavarde39130        2       3       5       2       5       4
Vardas39131         Pavarde39131        6       10      8       9       2       7
Vardas39132         Pavarde39132        1       3       2       7       4       9
Vardas39133         Pavarde39133        8       3       5       1       7       7
Vardas39134         Pavarde39134        3       1       10      10      1       4
Vardas39135         Pavarde39135        9       4       1       7       9       2
Vardas39136         Pavarde39136        5       3       6       5       8       3
Vardas39137         Pavarde39137        2       1       1       3       1       8
Vardas39138         Pavarde39138        9       6       6       4       4       3
Vardas39139         Pavarde39139        4       8       6       7       7       9
Vardas39140         Pavarde39140        9       8       2       6       4       8
Vardas39141         Pavarde39141        7       10      8       7       4       10
Vardas39142         Pavarde39142        3       9       4       4       4       7
Vardas39143         Pavarde39143        7       1       9       1       10      9
Vardas39144         Pavarde39144        4       7       1       5       8       4
Vardas39145         Pavarde39145        4       3       7       8       3       6
Vardas39146         Pavarde39146        1       1       7       2       1       1
Vardas39147         Pavarde39147        7       10      5       4       4       1
Vardas39148         Pavarde39148        2       10      4       8       3       7
Vardas39149         Pavarde39149        6       10      9       9       4       4
Vardas39150         Pavarde39150        3       3       9       7       7       9
Vardas39151         Pavarde39151        2       2       4       5       1       9
Vardas39152         Pavarde39152        4       2       6       3       4       3
Vardas39153         Pavarde39153        4       10      7       2       5       7
Vardas39154         Pavarde39154        7       5       1       8       5       8
Vardas39155         Pavarde39155        1       7       8       3       6       5
Vardas39156         Pavarde39156        7       4       8       4       7       6
Vardas39157         Pavarde39157        4       5       9       7       9       2
Vardas39158         Pavarde39158        9       3       7       2       1       9
Vardas39159         Pavarde39159        2       2       10      6       8       1
Vardas39160         Pavarde39160        8       7       8       4       7       5
Vardas39161         Pavarde39161        8       4       1       6       10      6
Vardas39162         Pavarde39162        7       9       4       3       9       4
Vardas39163         Pavarde39163        8       1       3       3       4       1
Vardas39164         Pavarde39164        5       7       6       7       8       9
Vardas39165         Pavarde39165        8       6       1       1       4       6
Vardas39166         Pavarde39166        1       6       9       2       4       2
Vardas39167         Pavarde39167        5       4       4       5       7       7
Vardas39168         Pavarde39168        10      4       9       10      8       8
Vardas39169         Pavarde39169        7       10      7       5       8       8
Vardas39170         Pavarde39170        1       4       1       9       3       3
Vardas39171         Pavarde39171        9       3       10      1       3       7
Vardas39172         Pavarde39172        9       7       1       8       6       1
Vardas39173         Pavarde39173        1       10      9       1       2       2
Vardas39174         Pavarde39174        6       2       5       5       7       10
Vardas39175         Pavarde39175        6       3       4       7       1       2
Vardas39176         Pavarde39176        6       10      1       8       8       1
Vardas39177         Pavarde39177        6       5       10      6       8       8
Vardas39178         Pavarde39178        6       10      9       6       8       3
Vardas39179         Pavarde39179        9       9       6       2       9       10
Vardas39180         Pavarde39180        10      7       1       6       1       5
Vardas39181         Pavarde39181        6       1       10      3       7       4
Vardas39182         Pavarde39182        8       7       7       4       5       9
Vardas39183         Pavarde39183        1       6       1       9       10      1
Vardas39184         Pavarde39184        5       5       2       3       6       1
Vardas39185         Pavarde39185        1       9       7       1       3       5
Vardas39186         Pavarde39186        3       6       4       6       1       6
Vardas39187         Pavarde39187        8       7       10      6       5       10
Vardas39188         Pavarde39188        7       1       5       9       5       1
Vardas39189         Pavarde39189        6       7       7       2       5       10
Vardas39190         Pavarde39190        4       6       6       6       8       8
Vardas39191         Pavarde39191        1       5       8       3       1       5
Vardas39192         Pavarde39192        6       8       4       7       9       10
Vardas39193         Pavarde39193        8       1       10      1       8       7
Vardas39194         Pavarde39194        10      5       9       3       6       5
Vardas39195         Pavarde39195        4       2       7       6       5       10
Vardas39196         Pavarde39196        3       8       8       4       6       9
Vardas39197         Pavarde39197        10      8       1       1       6       9
Vardas39198         Pavarde39198        7       4       4       1       2       2
Vardas39199         Pavarde39199        3       9       1       10      9       9
Vardas39200         Pavarde39200        2       1       3       2       5       6
Vardas39201         Pavarde39201        6       9       1       8       8       6
Vardas39202         Pavarde39202        6       9       2       10      4       7
Vardas39203         Pavarde39203        8       6       10      5       1       3
Vardas39204         Pavarde39204        10      9       5       4       4       4
Vardas39205         Pavarde39205        3       8       6       8       8       2
Vardas39206         Pavarde39206        4       3       6       8       6       4
Vardas39207         Pavarde39207        4       7       2       4       4       1
Vardas39208         Pavarde39208        4       9       9       8       9       8
Vardas39209         Pavarde39209        10      3       6       5       4       2
Vardas39210         Pavarde39210        5       4       5       9       6       4
Vardas39211         Pavarde39211        3       7       7       5       1       5
Vardas39212         Pavarde39212        2       1       3       5       7       7
Vardas39213         Pavarde39213        4       3       9       10      6       2
Vardas39214         Pavarde39214        2       10      3       8       2       3
Vardas39215         Pavarde39215        5       5       8       3       9       2
Vardas39216         Pavarde39216        6       6       9       5       2       3
Vardas39217         Pavarde39217        2       9       7       2       1       10
Vardas39218         Pavarde39218        1       5       7       4       6       4
Vardas39219         Pavarde39219        1       8       9       2       8       9
Vardas39220         Pavarde39220        3       5       5       4       10      8
Vardas39221         Pavarde39221        6       1       3       6       5       5
Vardas39222         Pavarde39222        6       2       8       6       6       4
Vardas39223         Pavarde39223        5       4       6       2       1       2
Vardas39224         Pavarde39224        8       5       1       8       9       9
Vardas39225         Pavarde39225        2       10      3       10      8       5
Vardas39226         Pavarde39226        6       2       5       10      4       7
Vardas39227         Pavarde39227        8       7       3       1       9       2
Vardas39228         Pavarde39228        6       6       8       8       1       1
Vardas39229         Pavarde39229        1       1       10      2       3       8
Vardas39230         Pavarde39230        4       1       7       1       3       7
Vardas39231         Pavarde39231        5       3       2       8       10      5
Vardas39232         Pavarde39232        5       2       8       1       1       7
Vardas39233         Pavarde39233        10      6       5       3       6       10
Vardas39234         Pavarde39234        2       5       2       7       4       7
Vardas39235         Pavarde39235        10      8       2       1       8       9
Vardas39236         Pavarde39236        5       7       5       4       8       7
Vardas39237         Pavarde39237        8       7       4       8       5       10
Vardas39238         Pavarde39238        1       5       3       4       9       2
Vardas39239         Pavarde39239        10      2       5       5       10      8
Vardas39240         Pavarde39240        6       1       2       6       8       5
Vardas39241         Pavarde39241        4       6       5       7       4       3
Vardas39242         Pavarde39242        8       3       7       7       1       10
Vardas39243         Pavarde39243        2       2       5       8       3       9
Vardas39244         Pavarde39244        6       7       6       4       10      10
Vardas39245         Pavarde39245        10      5       2       8       9       3
Vardas39246         Pavarde39246        5       9       5       9       6       2
Vardas39247         Pavarde39247        8       6       1       3       2       5
Vardas39248         Pavarde39248        8       4       4       8       3       4
Vardas39249         Pavarde39249        7       1       3       3       7       4
Vardas39250         Pavarde39250        10      1       10      10      8       8
Vardas39251         Pavarde39251        10      3       7       2       2       4
Vardas39252         Pavarde39252        8       1       10      9       7       10
Vardas39253         Pavarde39253        4       8       9       9       9       8
Vardas39254         Pavarde39254        8       10      4       9       2       1
Vardas39255         Pavarde39255        4       2       8       9       1       4
Vardas39256         Pavarde39256        10      5       4       1       2       1
Vardas39257         Pavarde39257        4       8       1       5       9       2
Vardas39258         Pavarde39258        8       7       7       2       8       10
Vardas39259         Pavarde39259        8       5       9       2       4       3
Vardas39260         Pavarde39260        7       4       7       4       8       8
Vardas39261         Pavarde39261        10      4       2       1       9       2
Vardas39262         Pavarde39262        4       3       8       3       6       1
Vardas39263         Pavarde39263        4       4       7       5       6       9
Vardas39264         Pavarde39264        5       8       4       5       2       9
Vardas39265         Pavarde39265        3       3       8       3       1       8
Vardas39266         Pavarde39266        2       7       9       6       10      1
Vardas39267         Pavarde39267        2       4       7       3       4       9
Vardas39268         Pavarde39268        7       1       9       9       3       7
Vardas39269         Pavarde39269        8       9       2       3       5       2
Vardas39270         Pavarde39270        9       1       3       7       7       7
Vardas39271         Pavarde39271        4       5       8       10      5       6
Vardas39272         Pavarde39272        4       8       4       7       9       7
Vardas39273         Pavarde39273        8       6       4       6       2       8
Vardas39274         Pavarde39274        2       2       5       10      5       5
Vardas39275         Pavarde39275        2       2       10      7       10      7
Vardas39276         Pavarde39276        1       5       7       9       3       4
Vardas39277         Pavarde39277        5       3       9       1       7       5
Vardas39278         Pavarde39278        8       2       9       5       8       1
Vardas39279         Pavarde39279        1       10      6       3       2       2
Vardas39280         Pavarde39280        3       10      4       7       3       6
Vardas39281         Pavarde39281        8       10      7       8       1       9
Vardas39282         Pavarde39282        10      3       7       10      2       4
Vardas39283         Pavarde39283        8       2       3       9       2       6
Vardas39284         Pavarde39284        2       9       6       7       4       3
Vardas39285         Pavarde39285        6       6       1       8       7       8
Vardas39286         Pavarde39286        5       2       6       4       10      9
Vardas39287         Pavarde39287        2       4       5       9       8       9
Vardas39288         Pavarde39288        10      2       6       3       3       4
Vardas39289         Pavarde39289        6       4       10      7       3       3
Vardas39290         Pavarde39290        4       6       5       8       3       4
Vardas39291         Pavarde39291        10      1       5       6       3       2
Vardas39292         Pavarde39292        8       10      1       8       2       2
Vardas39293         Pavarde39293        10      3       5       8       3       4
Vardas39294         Pavarde39294        5       1       3       8       6       8
Vardas39295         Pavarde39295        2       2       10      3       6       9
Vardas39296         Pavarde39296        5       5       4       7       5       6
Vardas39297         Pavarde39297        10      10      3       10      7       1
Vardas39298         Pavarde39298        9       9       8       10      1       7
Vardas39299         Pavarde39299        3       7       1       5       1       10
Vardas39300         Pavarde39300        9       3       9       2       10      5
Vardas39301         Pavarde39301        7       8       4       5       1       8
Vardas39302         Pavarde39302        9       3       9       7       5       8
Vardas39303         Pavarde39303        6       2       7       4       7       2
Vardas39304         Pavarde39304        9       6       3       5       6       1
Vardas39305         Pavarde39305        4       1       9       6       2       9
Vardas39306         Pavarde39306        5       9       5       9       4       7
Vardas39307         Pavarde39307        7       9       5       7       2       1
Vardas39308         Pavarde39308        5       3       3       2       8       9
Vardas39309         Pavarde39309        7       3       5       1       6       8
Vardas39310         Pavarde39310        6       1       2       4       4       4
Vardas39311         Pavarde39311        3       3       8       8       3       8
Vardas39312         Pavarde39312        5       5       3       10      2       3
Vardas39313         Pavarde39313        8       6       6       2       1       5
Vardas39314         Pavarde39314        2       6       1       1       3       7
Vardas39315         Pavarde39315        3       6       9       5       5       8
Vardas39316         Pavarde39316        2       9       2       7       9       5
Vardas39317         Pavarde39317        9       10      9       9       2       5
Vardas39318         Pavarde39318        1       8       10      1       8       5
Vardas39319         Pavarde39319        8       6       10      4       4       8
Vardas39320         Pavarde39320        8       6       1       3       2       8
Vardas39321         Pavarde39321        3       6       4       9       1       1
Vardas39322         Pavarde39322        10      3       10      2       9       3
Vardas39323         Pavarde39323        5       5       6       7       5       4
Vardas39324         Pavarde39324        5       5       4       7       8       7
Vardas39325         Pavarde39325        4       7       1       5       6       4
Vardas39326         Pavarde39326        1       8       6       4       9       3
Vardas39327         Pavarde39327        3       3       3       4       3       4
Vardas39328         Pavarde39328        8       4       3       6       3       7
Vardas39329         Pavarde39329        2       8       1       6       6       10
Vardas39330         Pavarde39330        3       7       1       4       4       2
Vardas39331         Pavarde39331        2       1       4       2       10      9
Vardas39332         Pavarde39332        2       4       9       3       9       5
Vardas39333         Pavarde39333        2       7       6       2       4       3
Vardas39334         Pavarde39334        6       8       1       9       5       1
Vardas39335         Pavarde39335        3       1       3       10      3       4
Vardas39336         Pavarde39336        7       2       4       10      3       3
Vardas39337         Pavarde39337        6       9       6       4       4       5
Vardas39338         Pavarde39338        6       7       3       3       9       4
Vardas39339         Pavarde39339        2       2       4       5       6       2
Vardas39340         Pavarde39340        2       6       2       4       8       9
Vardas39341         Pavarde39341        8       8       8       10      7       4
Vardas39342         Pavarde39342        9       2       1       4       6       9
Vardas39343         Pavarde39343        4       3       2       7       9       4
Vardas39344         Pavarde39344        1       2       4       8       5       6
Vardas39345         Pavarde39345        6       1       6       2       6       7
Vardas39346         Pavarde39346        1       6       4       10      3       10
Vardas39347         Pavarde39347        1       5       7       2       2       4
Vardas39348         Pavarde39348        5       2       3       1       2       6
Vardas39349         Pavarde39349        9       8       3       5       9       7
Vardas39350         Pavarde39350        5       9       2       2       1       8
Vardas39351         Pavarde39351        1       8       6       4       9       8
Vardas39352         Pavarde39352        9       6       1       7       5       3
Vardas39353         Pavarde39353        3       3       10      1       2       8
Vardas39354         Pavarde39354        9       3       8       9       8       4
Vardas39355         Pavarde39355        7       5       9       7       4       7
Vardas39356         Pavarde39356        9       5       1       10      6       5
Vardas39357         Pavarde39357        7       10      9       9       10      6
Vardas39358         Pavarde39358        1       10      4       5       4       9
Vardas39359         Pavarde39359        10      10      9       1       9       9
Vardas39360         Pavarde39360        6       10      5       10      8       3
Vardas39361         Pavarde39361        3       2       10      6       9       1
Vardas39362         Pavarde39362        7       6       8       2       7       3
Vardas39363         Pavarde39363        8       10      3       9       8       6
Vardas39364         Pavarde39364        3       9       3       10      4       9
Vardas39365         Pavarde39365        6       6       7       8       6       6
Vardas39366         Pavarde39366        10      3       1       2       1       3
Vardas39367         Pavarde39367        6       9       3       6       2       9
Vardas39368         Pavarde39368        3       7       6       6       8       1
Vardas39369         Pavarde39369        8       4       5       8       4       9
Vardas39370         Pavarde39370        1       6       3       2       9       9
Vardas39371         Pavarde39371        4       4       1       5       3       9
Vardas39372         Pavarde39372        3       7       10      2       9       6
Vardas39373         Pavarde39373        1       1       8       10      9       7
Vardas39374         Pavarde39374        8       8       6       6       5       5
Vardas39375         Pavarde39375        8       9       4       8       5       2
Vardas39376         Pavarde39376        3       8       2       5       4       4
Vardas39377         Pavarde39377        4       8       8       10      8       6
Vardas39378         Pavarde39378        9       3       3       3       2       9
Vardas39379         Pavarde39379        9       3       7       9       9       6
Vardas39380         Pavarde39380        5       3       3       6       7       2
Vardas39381         Pavarde39381        1       8       1       1       2       7
Vardas39382         Pavarde39382        5       5       8       3       4       4
Vardas39383         Pavarde39383        1       1       8       10      3       9
Vardas39384         Pavarde39384        1       5       3       9       8       7
Vardas39385         Pavarde39385        10      4       9       5       8       8
Vardas39386         Pavarde39386        8       5       9       10      3       1
Vardas39387         Pavarde39387        7       7       4       4       8       7
Vardas39388         Pavarde39388        6       8       5       1       4       4
Vardas39389         Pavarde39389        10      10      10      3       8       7
Vardas39390         Pavarde39390        8       8       7       2       8       1
Vardas39391         Pavarde39391        8       9       10      2       4       10
Vardas39392         Pavarde39392        8       4       6       3       1       2
Vardas39393         Pavarde39393        7       6       2       1       5       7
Vardas39394         Pavarde39394        3       9       3       8       7       8
Vardas39395         Pavarde39395        2       9       1       1       1       10
Vardas39396         Pavarde39396        2       2       5       4       2       4
Vardas39397         Pavarde39397        9       2       2       10      3       3
Vardas39398         Pavarde39398        5       5       6       5       4       7
Vardas39399         Pavarde39399        4       10      8       10      2       1
Vardas39400         Pavarde39400        2       5       9       9       1       2
Vardas39401         Pavarde39401        9       2       10      6       4       9
Vardas39402         Pavarde39402        8       8       8       6       2       4
Vardas39403         Pavarde39403        5       1       7       1       7       8
Vardas39404         Pavarde39404        5       6       2       6       9       8
Vardas39405         Pavarde39405        3       6       2       2       6       9
Vardas39406         Pavarde39406        5       6       9       6       10      5
Vardas39407         Pavarde39407        1       10      8       1       6       6
Vardas39408         Pavarde39408        6       7       3       9       9       2
Vardas39409         Pavarde39409        10      10      9       3       5       2
Vardas39410         Pavarde39410        4       4       5       7       1       6
Vardas39411         Pavarde39411        2       9       9       1       8       3
Vardas39412         Pavarde39412        2       4       5       9       6       9
Vardas39413         Pavarde39413        4       5       10      7       9       4
Vardas39414         Pavarde39414        1       7       10      9       4       4
Vardas39415         Pavarde39415        10      4       7       9       7       9
Vardas39416         Pavarde39416        2       2       7       4       9       10
Vardas39417         Pavarde39417        7       4       7       2       9       4
Vardas39418         Pavarde39418        1       9       4       7       3       10
Vardas39419         Pavarde39419        7       8       3       2       2       6
Vardas39420         Pavarde39420        5       10      2       10      5       2
Vardas39421         Pavarde39421        7       1       5       1       6       4
Vardas39422         Pavarde39422        1       6       6       5       7       1
Vardas39423         Pavarde39423        5       9       1       10      10      2
Vardas39424         Pavarde39424        3       1       9       2       1       10
Vardas39425         Pavarde39425        6       9       7       3       2       2
Vardas39426         Pavarde39426        9       4       8       7       10      2
Vardas39427         Pavarde39427        6       10      10      8       6       7
Vardas39428         Pavarde39428        9       1       6       8       4       3
Vardas39429         Pavarde39429        1       6       7       4       2       5
Vardas39430         Pavarde39430        10      5       5       9       2       1
Vardas39431         Pavarde39431        9       4       7       1       9       10
Vardas39432         Pavarde39432        10      4       10      7       7       3
Vardas39433         Pavarde39433        9       8       9       1       9       7
Vardas39434         Pavarde39434        9       3       8       1       7       4
Vardas39435         Pavarde39435        4       7       9       2       2       5
Vardas39436         Pavarde39436        4       7       7       7       7       8
Vardas39437         Pavarde39437        2       9       5       8       4       7
Vardas39438         Pavarde39438        6       6       4       4       5       9
Vardas39439         Pavarde39439        8       2       1       5       4       1
Vardas39440         Pavarde39440        7       6       5       10      6       8
Vardas39441         Pavarde39441        9       8       7       8       6       9
Vardas39442         Pavarde39442        7       3       6       9       6       8
Vardas39443         Pavarde39443        8       6       7       10      10      7
Vardas39444         Pavarde39444        2       2       9       4       4       8
Vardas39445         Pavarde39445        4       6       2       9       1       8
Vardas39446         Pavarde39446        5       4       3       3       4       10
Vardas39447         Pavarde39447        5       3       6       3       4       9
Vardas39448         Pavarde39448        9       3       2       10      6       3
Vardas39449         Pavarde39449        5       8       8       4       4       9
Vardas39450         Pavarde39450        4       3       8       2       8       10
Vardas39451         Pavarde39451        1       9       1       5       1       6
Vardas39452         Pavarde39452        5       9       5       2       5       8
Vardas39453         Pavarde39453        8       3       2       7       2       3
Vardas39454         Pavarde39454        2       10      2       5       9       5
Vardas39455         Pavarde39455        1       2       4       5       10      9
Vardas39456         Pavarde39456        7       6       3       8       5       2
Vardas39457         Pavarde39457        5       10      8       6       6       2
Vardas39458         Pavarde39458        2       3       1       2       8       5
Vardas39459         Pavarde39459        6       10      4       10      9       9
Vardas39460         Pavarde39460        5       5       6       6       10      8
Vardas39461         Pavarde39461        3       10      8       4       1       4
Vardas39462         Pavarde39462        2       8       10      7       4       7
Vardas39463         Pavarde39463        5       9       9       1       2       10
Vardas39464         Pavarde39464        3       9       1       5       2       8
Vardas39465         Pavarde39465        7       1       1       8       9       5
Vardas39466         Pavarde39466        6       1       4       9       2       2
Vardas39467         Pavarde39467        9       9       8       1       10      6
Vardas39468         Pavarde39468        5       5       1       1       6       2
Vardas39469         Pavarde39469        5       1       7       5       6       9
Vardas39470         Pavarde39470        4       7       1       7       8       7
Vardas39471         Pavarde39471        6       5       8       9       3       5
Vardas39472         Pavarde39472        10      1       8       2       3       2
Vardas39473         Pavarde39473        8       3       10      7       10      8
Vardas39474         Pavarde39474        4       5       6       5       5       9
Vardas39475         Pavarde39475        2       4       10      4       3       1
Vardas39476         Pavarde39476        4       5       3       7       1       5
Vardas39477         Pavarde39477        5       1       4       7       7       9
Vardas39478         Pavarde39478        5       7       7       1       3       4
Vardas39479         Pavarde39479        1       3       3       10      8       8
Vardas39480         Pavarde39480        3       8       5       9       10      10
Vardas39481         Pavarde39481        6       9       7       2       7       5
Vardas39482         Pavarde39482        6       4       5       4       4       4
Vardas39483         Pavarde39483        3       2       8       6       9       7
Vardas39484         Pavarde39484        4       9       1       5       5       8
Vardas39485         Pavarde39485        8       2       1       8       3       8
Vardas39486         Pavarde39486        3       7       9       5       9       5
Vardas39487         Pavarde39487        3       6       3       1       3       5
Vardas39488         Pavarde39488        4       9       10      3       8       2
Vardas39489         Pavarde39489        7       7       4       5       4       2
Vardas39490         Pavarde39490        1       3       7       7       6       9
Vardas39491         Pavarde39491        7       7       10      6       10      9
Vardas39492         Pavarde39492        7       4       6       10      4       3
Vardas39493         Pavarde39493        10      8       2       9       10      4
Vardas39494         Pavarde39494        1       6       7       2       7       3
Vardas39495         Pavarde39495        4       9       3       2       7       9
Vardas39496         Pavarde39496        2       1       2       9       3       7
Vardas39497         Pavarde39497        4       1       10      9       8       2
Vardas39498         Pavarde39498        1       8       9       8       7       8
Vardas39499         Pavarde39499        2       8       2       6       8       2
Vardas39500         Pavarde39500        4       9       2       2       4       4
Vardas39501         Pavarde39501        6       10      6       7       3       6
Vardas39502         Pavarde39502        2       8       2       6       2       3
Vardas39503         Pavarde39503        10      6       7       7       8       4
Vardas39504         Pavarde39504        7       10      7       5       6       10
Vardas39505         Pavarde39505        1       10      9       8       7       1
Vardas39506         Pavarde39506        8       9       2       9       2       4
Vardas39507         Pavarde39507        10      5       8       8       6       10
Vardas39508         Pavarde39508        1       5       6       4       4       8
Vardas39509         Pavarde39509        7       4       6       10      10      8
Vardas39510         Pavarde39510        3       9       3       8       6       1
Vardas39511         Pavarde39511        6       8       7       4       4       4
Vardas39512         Pavarde39512        6       9       3       1       5       6
Vardas39513         Pavarde39513        4       5       9       7       5       8
Vardas39514         Pavarde39514        8       3       1       7       8       6
Vardas39515         Pavarde39515        1       2       7       5       8       5
Vardas39516         Pavarde39516        6       1       10      6       2       9
Vardas39517         Pavarde39517        10      3       3       7       2       8
Vardas39518         Pavarde39518        3       6       3       3       5       6
Vardas39519         Pavarde39519        8       5       8       5       3       1
Vardas39520         Pavarde39520        8       5       6       3       7       9
Vardas39521         Pavarde39521        8       4       7       9       5       5
Vardas39522         Pavarde39522        9       9       4       8       3       8
Vardas39523         Pavarde39523        9       10      7       4       6       4
Vardas39524         Pavarde39524        5       2       7       3       1       3
Vardas39525         Pavarde39525        2       2       8       2       3       7
Vardas39526         Pavarde39526        9       2       5       8       9       2
Vardas39527         Pavarde39527        7       2       9       2       6       1
Vardas39528         Pavarde39528        8       6       8       7       5       5
Vardas39529         Pavarde39529        6       2       5       1       1       9
Vardas39530         Pavarde39530        9       1       1       9       2       10
Vardas39531         Pavarde39531        6       4       3       9       5       10
Vardas39532         Pavarde39532        9       5       7       5       2       9
Vardas39533         Pavarde39533        1       9       9       2       3       9
Vardas39534         Pavarde39534        4       1       2       7       2       8
Vardas39535         Pavarde39535        4       4       8       5       4       2
Vardas39536         Pavarde39536        7       4       1       6       4       3
Vardas39537         Pavarde39537        8       2       9       1       8       3
Vardas39538         Pavarde39538        6       9       3       3       9       6
Vardas39539         Pavarde39539        6       10      6       5       2       3
Vardas39540         Pavarde39540        3       10      5       10      1       4
Vardas39541         Pavarde39541        5       2       6       5       3       3
Vardas39542         Pavarde39542        4       7       3       7       7       2
Vardas39543         Pavarde39543        6       4       10      9       10      5
Vardas39544         Pavarde39544        10      9       1       8       5       8
Vardas39545         Pavarde39545        10      1       8       2       1       9
Vardas39546         Pavarde39546        6       8       7       1       5       8
Vardas39547         Pavarde39547        3       9       1       10      7       9
Vardas39548         Pavarde39548        8       9       10      10      6       10
Vardas39549         Pavarde39549        6       2       8       10      7       10
Vardas39550         Pavarde39550        4       3       9       9       5       3
Vardas39551         Pavarde39551        6       7       5       2       9       8
Vardas39552         Pavarde39552        2       9       4       1       2       6
Vardas39553         Pavarde39553        7       5       6       2       1       5
Vardas39554         Pavarde39554        3       3       10      6       3       4
Vardas39555         Pavarde39555        9       10      9       7       4       3
Vardas39556         Pavarde39556        10      1       7       2       6       1
Vardas39557         Pavarde39557        1       5       8       9       8       3
Vardas39558         Pavarde39558        9       8       9       3       8       1
Vardas39559         Pavarde39559        1       3       5       5       5       7
Vardas39560         Pavarde39560        1       8       6       4       4       9
Vardas39561         Pavarde39561        7       5       3       4       9       8
Vardas39562         Pavarde39562        2       10      8       4       3       9
Vardas39563         Pavarde39563        4       7       9       1       7       4
